Start Time,End Time,gpt-5-thinking,GPT-5.5 - Input,GPT-5.5 - Cached Input,GPT-5.5 Fast - Input,GPT-5.4 - Input,gpt-5-pro,Image Gen,GPT-5.4 - Cached Input,GPT-5.5 Fast - Cached Input,Other
2026-05-25,2026-05-26,0,0,0,0,0,0,0,0,0,0
2026-05-26,2026-05-27,560,243.143125,311.76959999999997,85.57,88.66175,200,10,20.1704,58.419999999999995,147.72098875
2026-05-27,2026-05-28,5990,1907.8872500000007,1484.166400000001,1939.2690625000002,1373.4227500000002,650,210,307.88879999999995,1214.5879999999997,3678.1531912500004
2026-05-28,2026-05-29,2160,686.6531249999999,515.6335999999999,449.56718750000005,197.0529375,250,90,58.3168,257.624,1185.7026387499998
2026-05-29,2026-05-30,490,235.74800000000002,170.34560000000002,408.00187500000004,500.0576250000001,150,90,145.71999999999997,229.68,1694.89339
2026-05-30,2026-05-31,80,0,0,0,32.2224375,0,0,6.4384,0,73.52647250000003
2026-05-31,2026-06-01,60,4.6850000000000005,1.1776,0,163.2169375,0,0,32.3568,0,143.66897375
2026-06-01,2026-06-02,730,230.071375,77.7648,216.2290625,551.885375,150,165,145.52079999999998,320.52,777.05707875
2026-06-02,2026-06-03,620,158.62387499999997,150.2464,316.34125,117.6150625,200,115,74.04719999999999,324.58799999999997,792.3749975000001
2026-06-03,2026-06-04,40,35.64275,14.2112,0,54.7835625,0,20,21.18,0,92.85854625000002
2026-06-04,2026-06-05,1890,405.57874999999984,152.17919999999998,827.5159375,395.2461874999999,650,215,231.368,327.81199999999995,1616.6534149999998
2026-06-05,2026-06-06,1060,385.719875,326.8192000000001,783.4881250000001,407.54299999999995,250,200,442.41280000000006,414.6240000000001,1145.61571625
2026-06-06,2026-06-07,50,242.072,161.248,0,3.7999375,0,10,1.664,0,75.0820025
2026-06-07,2026-06-08,80,8.47075,0.8336,0,24.647687499999996,50,10,26.786399999999997,0,60.83203125
2026-06-08,2026-06-09,1460,921.4816250000001,660.2512000000002,430.1706249999999,103.64362500000001,150,935,137.9488,247.376,1513.23015625
2026-06-09,2026-06-10,1130,318.42737500000004,225.4864,440.231875,144.5478125,150,175,154.4272,263.04,1823.7740533333001
2026-06-10,2026-06-11,1130,812.337125,413.3008,676.2215624999998,122.17175,350,170,154.0344,443.93600000000004,2295.0701675
2026-06-11,2026-06-12,1860,311.40987500000006,221.3904,333.80281249999996,333.3276875,300,195,367.70399999999995,218.28799999999998,1262.5211924999999
2026-06-12,2026-06-13,840,413.20237499999996,354.0176,211.5571875,121.6606875,850,265,121.5744,134.284,984.1435162500002
2026-06-13,2026-06-14,70,0,0,124.75625,21.155562500000002,0,0,14.0128,76.16,40.97807625
2026-06-14,2026-06-15,120,146.33662500000003,114.7312,180.2128125,69.4448125,0,0,70.59519999999999,179.47200000000004,343.41209
2026-06-15,2026-06-16,1640,1824.8074999999997,1106.1984,230.29,144.66418750000003,100,775,104.19600000000001,110.99600000000001,1781.1881762499997
2026-06-16,2026-06-17,1590,693.6753749999998,487.9663999999999,859.1393750000001,453.2559999999999,350,265,345.6928000000001,692.9079999999999,2436.152537500001
2026-06-17,2026-06-18,1500,971.78275,608.6239999999999,196.5209375,669.1340625,200,290,723.6039999999997,127.99600000000001,1991.2411962499998
2026-06-18,2026-06-19,1300,1157.7987500000002,870.9552000000002,108.45656249999999,524.5418750000001,250,405,448.18319999999994,19.94,1466.09003375
2026-06-19,2026-06-20,600,265.5305,104.304,24.1865625,483.15525000000014,50,265,418.8384000000002,0.156,817.9146500000002
2026-06-20,2026-06-21,0,134.468,42.47840000000001,0,13.6885625,0,0,5.8351999999999995,0,51.335325000000005
2026-06-21,2026-06-22,150,1385.3941249999998,860.9696,0,95.25543750000001,100,35,116.18240000000002,0,575.8811525000001
2026-06-22,2026-06-23,1940,1800.5751249999996,1101.6527999999998,46.0865625,688.9498124999999,1950,690,603.764,28.183999999999997,1905.8718062500002
